2024-03-13 15:17:03 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-1] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@280c3dc0: tags=[[amq.ctag-NrdY7Zabpj4gVV1mE0gmFw]], channel=Cached Rabbit Channel: AMQChannel(amqp://guest@192.168.50.141:5672/,1), conn: Proxy@5cb76070 Shared Rabbit Connection: SimpleConnection@1610c03c [delegate=amqp://guest@192.168.50.141:5672/, localPort=61594], acknowledgeMode=AUTO local queue size=0
2024-03-13 15:17:03 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-2] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.50.141:5672]
2024-03-13 15:17:03 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-2] INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#3be46d9c:1/SimpleConnection@33ede8e2 [delegate=amqp://guest@192.168.50.141:5672/, localPort=57298]
2024-03-13 15:17:03 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-2] INFO  o.s.amqp.rabbit.core.RabbitAdmin - Auto-declaring a non-durable, auto-delete, or exclusive Queue (springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw) durable:false, auto-delete:true, exclusive:true. It will be redeclared if the broker stops and is restarted while the connection factory is alive, but all messages will be lost.
2024-03-13 16:03:01 [AMQP Connection 192.168.50.141:5672] WARN  c.r.c.impl.ForgivingExceptionHandler - An unexpected connection driver error occurred (Exception message: Connection reset)
2024-03-13 16:03:02 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-2] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@3e66cf6c: tags=[[amq.ctag-sCGj1KunwmqZ7sReJdGj4A]], channel=Cached Rabbit Channel: AMQChannel(amqp://guest@192.168.50.141:5672/,2), conn: Proxy@5cb76070 Shared Rabbit Connection: SimpleConnection@33ede8e2 [delegate=amqp://guest@192.168.50.141:5672/, localPort=57298], acknowledgeMode=AUTO local queue size=0
2024-03-13 16:03:02 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-3] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.50.141:5672]
2024-03-13 16:03:02 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-3] INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#3be46d9c:2/SimpleConnection@54c4ec3d [delegate=amqp://guest@192.168.50.141:5672/, localPort=62439]
2024-03-13 16:03:02 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-3] INFO  o.s.amqp.rabbit.core.RabbitAdmin - Auto-declaring a non-durable, auto-delete, or exclusive Queue (springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw) durable:false, auto-delete:true, exclusive:true. It will be redeclared if the broker stops and is restarted while the connection factory is alive, but all messages will be lost.
2024-03-13 16:09:59 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/catalog-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 16:09:59 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 16:27:27 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/catalog-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 16:27:27 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 17:09:29 [AMQP Connection 192.168.50.141:5672] WARN  c.r.c.impl.ForgivingExceptionHandler - An unexpected connection driver error occurred (Exception message: Connection reset)
2024-03-13 17:09:29 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-3] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@94391b6: tags=[[amq.ctag-Ar9ZhpNsF4sRQqv1PulTvA]], channel=Cached Rabbit Channel: AMQChannel(amqp://guest@192.168.50.141:5672/,2), conn: Proxy@5cb76070 Shared Rabbit Connection: SimpleConnection@54c4ec3d [delegate=amqp://guest@192.168.50.141:5672/, localPort=62439], acknowledgeMode=AUTO local queue size=0
2024-03-13 17:09:29 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-4] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.50.141:5672]
2024-03-13 17:09:29 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-4] INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#3be46d9c:3/SimpleConnection@bc9b6c7 [delegate=amqp://guest@192.168.50.141:5672/, localPort=63245]
